08/10/2023 16:26:09 = Scrapping links is started...
08/10/2023 16:26:29 = 1000 links are collected
08/10/2023 16:26:51 = 2000 links are collected
08/10/2023 16:27:17 = 3000 links are collected
08/10/2023 16:27:39 = 4000 links are collected
08/10/2023 16:28:02 = 5000 links are collected
08/10/2023 16:28:24 = 6000 links are collected
08/10/2023 16:28:48 = 7000 links are collected
08/10/2023 16:29:15 = 8000 links are collected
08/10/2023 16:29:38 = 9000 links are collected
08/10/2023 16:30:07 = 10000 links are collected
08/10/2023 16:30:33 = 11000 links are collected
08/10/2023 16:30:53 = 12000 links are collected
08/10/2023 16:31:21 = 13000 links are collected
08/10/2023 16:31:48 = 14000 links are collected
08/10/2023 16:32:15 = 15000 links are collected
08/10/2023 16:32:41 = 16000 links are collected
08/10/2023 16:33:09 = 17000 links are collected
08/10/2023 16:33:35 = 18000 links are collected
08/10/2023 16:34:01 = 19000 links are collected
08/10/2023 16:34:26 = Scrapping links is finished. 19980 links are saved to json.
08/10/2023 16:34:26 = Processing links from web_urls_1.json
08/10/2023 16:35:05 = 100 links are processed
08/10/2023 16:35:41 = 200 links are processed
08/10/2023 16:36:21 = 300 links are processed
08/10/2023 16:36:56 = 400 links are processed
08/10/2023 16:37:32 = 500 links are processed
08/10/2023 16:38:06 = 600 links are processed
08/10/2023 16:38:41 = 700 links are processed
08/10/2023 16:39:17 = 800 links are processed
08/10/2023 16:39:52 = 900 links are processed
08/10/2023 16:40:29 = 1000 links are processed
08/10/2023 16:41:04 = 1100 links are processed
08/10/2023 16:41:40 = 1200 links are processed
08/10/2023 16:42:18 = 1300 links are processed
08/10/2023 16:42:55 = 1400 links are processed
08/10/2023 16:43:32 = 1500 links are processed
08/10/2023 16:44:11 = 1600 links are processed
08/10/2023 16:44:48 = 1700 links are processed
08/10/2023 16:45:32 = 1800 links are processed
08/10/2023 16:46:11 = 1900 links are processed
08/10/2023 16:46:49 = 2000 links are processed
08/10/2023 16:47:27 = 2100 links are processed
08/10/2023 16:48:03 = 2200 links are processed
08/10/2023 16:48:39 = 2300 links are processed
08/10/2023 16:49:14 = 2400 links are processed
08/10/2023 16:49:50 = 2500 links are processed
08/10/2023 16:50:30 = 2600 links are processed
08/10/2023 16:50:57 = 2678 bad link
08/10/2023 16:51:06 = 2700 links are processed
08/10/2023 16:51:41 = 2800 links are processed
08/10/2023 16:52:17 = 2900 links are processed
08/10/2023 16:52:53 = 3000 links are processed
08/10/2023 16:53:31 = 3100 links are processed
08/10/2023 16:54:08 = 3200 links are processed
08/10/2023 16:54:43 = 3300 links are processed
08/10/2023 16:55:19 = 3400 links are processed
08/10/2023 16:55:53 = 3500 links are processed
08/10/2023 16:56:29 = 3600 links are processed
08/10/2023 16:57:05 = 3700 links are processed
08/10/2023 16:57:40 = 3800 links are processed
08/10/2023 16:58:18 = 3900 links are processed
08/10/2023 16:58:54 = 4000 links are processed
08/10/2023 16:59:32 = 4100 links are processed
08/10/2023 17:00:15 = 4200 links are processed
