"no","url","id","Locality_Name","Postal_code","Type_of_property","Subtype_of_property","Price","Type_of_sale","Number_of_rooms","Living_Area","Equipped_kitchen","Furnished","Open_fire","Terrace_YN","TerraceSurface","Garden_YN","Garden_area","Surface_of_good","Number_of_facades","Swimming_pool_YN","State_of_building","ipiNo","customer_type","regionCode","region","province","location_type"
"1","https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10865940","10865940","Deinze","9800","APARTMENT","APARTMENT","395000","FOR_SALE","2","99","HYPER_EQUIPPED","False","False","True","12","True","","","4","False","AS_NEW","505.931","AGENCY","FLANDERS","Flanders","East Flanders","URBAN"
"2","https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gavere/9890/10870494","10870494","Gavere","9890","HOUSE_GROUP","HOUSE_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504254","AGENCY","FLANDERS","Flanders","East Flanders",""
"3","https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/booischot/2221/10870431","10870431","Booischot","2221","HOUSE_GROUP","HOUSE_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","502.895","AGENCY","FLANDERS","Flanders","Antwerp",""
"4","https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10869538","10869538","Borgerhout","2140","APARTMENT","APARTMENT","164000","FOR_SALE","1","56","SEMI_EQUIPPED","None","True","True","13","","","27","3","","GOOD","505.542","AGENCY","FLANDERS","Flanders","Antwerp","URBAN"
"5","https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10870393","10870393","Blankenberge","8370","APARTMENT","APARTMENT","165000","FOR_SALE","1","73","SEMI_EQUIPPED","True","True","None","","","","","","","GOOD","207.510","AGENCY","FLANDERS","Flanders","West Flanders","LANDSCAPE"
"6","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussels%20city/1000/9881253","9881253","Brussels City","1000","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","","PROPERTY_DEVELOPER","BRUSSELS","Brussels","Brussels",""
"7","https://www.immoweb.be/en/classified/house/for-sale/ans/4432/10869788","10869788","Ans","4432","HOUSE","HOUSE","249000","FOR_SALE","3","114","NOT_INSTALLED","False","False","True","86","True","800","11","3","False","TO_RENOVATE","511.640","AGENCY","WALLONIE","Wallonie","Liège","ISOLATED"
"8","https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/10869539","10869539","Antwerp","2018","APARTMENT","APARTMENT","284000","FOR_SALE","2","74","INSTALLED","None","True","True","15","","","","2","","JUST_RENOVATED","505.542","AGENCY","FLANDERS","Flanders","Antwerp","URBAN"
"9","https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10869787","10869787","Herstal","4040","HOUSE","HOUSE","299000","FOR_SALE","3","118","INSTALLED","False","False","None","","True","330","10","4","False","GOOD","511.640","AGENCY","WALLONIE","Wallonie","Liège","ISOLATED"
"10","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent%20zwijnaarde/9052/10869449","10869449","Gent Zwijnaarde","9052","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504254","AGENCY","FLANDERS","Flanders","East Flanders",""
"11","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/perwez/1360/10869700","10869700","Perwez","1360","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","504157","AGENCY","WALLONIE","Wallonie","Walloon Brabant",""
"12","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/vilvoorde/1800/10870245","10870245","Vilvoorde","1800","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.625","AGENCY","FLANDERS","Flanders","Flemish Brabant",""
"13","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10869580","10869580","Bruxelles","1000","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.145","REAL_ESTATE_AGENCY","BRUSSELS","Brussels","Brussels",""
"14","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/10869612","10869612","Ixelles","1050","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.145","REAL_ESTATE_AGENCY","BRUSSELS","Brussels","Brussels",""
"15","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/10869640","10869640","Uccle","1180","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.145","REAL_ESTATE_AGENCY","BRUSSELS","Brussels","Brussels",""
"16","https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10869112","10869112","Etterbeek","1040","APARTMENT","APARTMENT","399000","FOR_SALE","2","97","HYPER_EQUIPPED","False","False","None","","","","","3","False","GOOD","501415","AGENCY","BRUSSELS","Brussels","Brussels","URBAN"
"17","https://www.immoweb.be/en/classified/loft/for-sale/molenbeek-saint-jean/1080/10869728","10869728","Molenbeek-Saint-Jean","1080","APARTMENT","LOFT","550000","FOR_SALE","2","235","USA_HYPER_EQUIPPED","None","False","True","12","","","","","False","AS_NEW","504.982","AGENCY","BRUSSELS","Brussels","Brussels","RESIDENTIAL"
"18","https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/uccle/1180/10869663","10869663","Uccle","1180","APARTMENT_GROUP","APARTMENT_GROUP","","FOR_SALE","","","","None","False","None","","","","","","","","510.145","REAL_ESTATE_AGENCY","BRUSSELS","Brussels","Brussels",""
"19","https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10865939","10865939","Deinze","9800","APARTMENT","APARTMENT","250000","FOR_SALE","1","63","HYPER_EQUIPPED","False","False","True","10","True","","","4","False","AS_NEW","505.931","AGENCY","FLANDERS","Flanders","East Flanders","URBAN"
